sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,20,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
1,20,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
1,20,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
1,20,0.0,0.0,0.68,0.68,0.35,MAX,vgg16,0.0
1,20,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
1,20,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
1,20,0.0,0.0,1.0,1.0,0.0,DyS,vgg16,0.0
1,20,0.0,0.0,0.33,0.33,0.65,HDy,vgg16,0.0
1,20,0.0,0.0,0.79,0.79,0.25,SORD,vgg16,0.0
2,20,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
2,20,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
2,20,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
2,20,0.0,0.0,0.38,0.38,0.65,MAX,vgg16,0.0
2,20,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
2,20,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
2,20,0.0,0.0,0.99,0.99,0.05,DyS,vgg16,0.0
2,20,0.0,0.0,0.05,0.05,0.95,HDy,vgg16,0.0
2,20,0.0,0.0,0.85,0.85,0.15,SORD,vgg16,0.0
3,20,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
3,20,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
3,20,0.0,0.0,0.46,0.46,0.55,X,vgg16,0.0
3,20,0.0,0.0,0.06,0.06,0.95,MAX,vgg16,0.0
3,20,0.0,0.0,0.46,0.46,0.55,T50,vgg16,0.0
3,20,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
3,20,0.0,0.0,0.38,0.38,0.65,DyS,vgg16,0.0
3,20,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,0.0
3,20,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,0.0
1,20,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
1,20,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
1,20,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
1,20,0.1,0.1,0.06,0.04,0.85,MAX,vgg16,0.0
1,20,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
1,20,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
1,20,0.1,0.1,0.43,0.33,0.65,DyS,vgg16,0.0
1,20,0.1,0.1,0.0,0.1,0.9,HDy,vgg16,0.0
1,20,0.1,0.1,0.0,0.1,0.9,SORD,vgg16,0.0
2,20,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
2,20,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
2,20,0.1,0.1,0.08,0.02,0.85,X,vgg16,0.0
2,20,0.1,0.1,0.24,0.14,0.85,MAX,vgg16,0.0
2,20,0.1,0.1,0.08,0.02,0.85,T50,vgg16,0.0
2,20,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
2,20,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
2,20,0.1,0.1,0.01,0.09,0.9,HDy,vgg16,0.0
2,20,0.1,0.1,0.35,0.25,0.75,SORD,vgg16,0.0
3,20,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
3,20,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
3,20,0.1,0.1,0.08,0.02,0.9,X,vgg16,0.0
3,20,0.1,0.1,0.24,0.14,0.75,MAX,vgg16,0.0
3,20,0.1,0.1,0.08,0.02,0.9,T50,vgg16,0.0
3,20,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
3,20,0.1,0.1,0.38,0.28,0.6,DyS,vgg16,0.0
3,20,0.1,0.1,0.1,0.0,0.8,HDy,vgg16,0.0
3,20,0.1,0.1,0.0,0.1,0.9,SORD,vgg16,0.0
1,20,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
1,20,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
1,20,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
1,20,0.2,0.2,0.53,0.33,0.5,MAX,vgg16,0.0
1,20,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
1,20,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
1,20,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
1,20,0.2,0.2,0.37,0.17,0.65,HDy,vgg16,0.0
1,20,0.2,0.2,0.85,0.65,0.25,SORD,vgg16,0.0
2,20,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
2,20,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
2,20,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
2,20,0.2,0.2,0.82,0.62,0.4,MAX,vgg16,0.0
2,20,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
2,20,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
2,20,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
2,20,0.2,0.2,0.22,0.02,0.6,HDy,vgg16,0.0
2,20,0.2,0.2,1.0,0.8,0.2,SORD,vgg16,0.0
3,20,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
3,20,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
3,20,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
3,20,0.2,0.2,0.38,0.18,0.5,MAX,vgg16,0.0
3,20,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
3,20,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
3,20,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
3,20,0.2,0.2,0.0,0.2,0.8,HDy,vgg16,0.0
3,20,0.2,0.2,0.99,0.79,0.25,SORD,vgg16,0.0
1,20,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
1,20,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
1,20,0.3,0.3,0.31,0.01,0.8,X,vgg16,0.0
1,20,0.3,0.3,0.06,0.24,0.65,MAX,vgg16,0.0
1,20,0.3,0.3,0.31,0.01,0.8,T50,vgg16,0.0
1,20,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
1,20,0.3,0.3,0.38,0.08,0.8,DyS,vgg16,0.0
1,20,0.3,0.3,0.0,0.3,0.7,HDy,vgg16,0.0
1,20,0.3,0.3,0.0,0.3,0.7,SORD,vgg16,0.0
2,20,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
2,20,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
2,20,0.3,0.3,0.69,0.39,0.6,X,vgg16,0.0
2,20,0.3,0.3,0.24,0.06,0.75,MAX,vgg16,0.0
2,20,0.3,0.3,0.69,0.39,0.6,T50,vgg16,0.0
2,20,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
2,20,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
2,20,0.3,0.3,0.13,0.17,0.7,HDy,vgg16,0.0
2,20,0.3,0.3,0.49,0.19,0.7,SORD,vgg16,0.0
3,20,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
3,20,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
3,20,0.3,0.3,0.08,0.22,0.6,X,vgg16,0.0
3,20,0.3,0.3,0.09,0.21,0.6,MAX,vgg16,0.0
3,20,0.3,0.3,0.08,0.22,0.6,T50,vgg16,0.0
3,20,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
3,20,0.3,0.3,0.1,0.2,0.6,DyS,vgg16,0.0
3,20,0.3,0.3,0.01,0.29,0.65,HDy,vgg16,0.0
3,20,0.3,0.3,0.0,0.3,0.7,SORD,vgg16,0.0
1,20,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
1,20,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
1,20,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
1,20,0.4,0.4,0.53,0.13,0.5,MAX,vgg16,0.0
1,20,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
1,20,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
1,20,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
1,20,0.4,0.4,0.15,0.25,0.45,HDy,vgg16,0.0
1,20,0.4,0.4,0.74,0.34,0.65,SORD,vgg16,0.0
2,20,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
2,20,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
2,20,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
2,20,0.4,0.4,0.53,0.13,0.15,MAX,vgg16,0.0
2,20,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
2,20,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
2,20,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
2,20,0.4,0.4,0.2,0.2,0.4,HDy,vgg16,0.0
2,20,0.4,0.4,1.0,0.6,0.4,SORD,vgg16,0.0
3,20,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
3,20,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
3,20,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
3,20,0.4,0.4,1.0,0.6,0.4,MAX,vgg16,0.0
3,20,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
3,20,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
3,20,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
3,20,0.4,0.4,0.9,0.5,0.5,HDy,vgg16,0.0
3,20,0.4,0.4,1.0,0.6,0.4,SORD,vgg16,0.0
1,20,0.5,0.5,0.0,0.5,0.5,CC,vgg16,0.0
1,20,0.5,0.5,0.0,0.5,0.5,ACC,vgg16,0.0
1,20,0.5,0.5,1.0,0.5,0.5,X,vgg16,0.0
1,20,0.5,0.5,0.53,0.03,0.75,MAX,vgg16,0.0
1,20,0.5,0.5,1.0,0.5,0.5,T50,vgg16,0.0
1,20,0.5,0.5,0.0,0.5,0.5,MS,vgg16,0.0
1,20,0.5,0.5,1.0,0.5,0.5,DyS,vgg16,0.0
1,20,0.5,0.5,0.49,0.01,0.75,HDy,vgg16,0.0
1,20,0.5,0.5,0.85,0.35,0.65,SORD,vgg16,0.0
2,20,0.5,0.5,0.0,0.5,0.5,CC,vgg16,0.0
2,20,0.5,0.5,0.0,0.5,0.5,ACC,vgg16,0.0
2,20,0.5,0.5,0.31,0.19,0.65,X,vgg16,0.0
2,20,0.5,0.5,0.38,0.12,0.7,MAX,vgg16,0.0
2,20,0.5,0.5,0.31,0.19,0.65,T50,vgg16,0.0
2,20,0.5,0.5,0.0,0.5,0.5,MS,vgg16,0.0
2,20,0.5,0.5,1.0,0.5,0.5,DyS,vgg16,0.0
2,20,0.5,0.5,0.1,0.4,0.4,HDy,vgg16,0.0
2,20,0.5,0.5,0.47,0.03,0.75,SORD,vgg16,0.0
3,20,0.5,0.5,0.0,0.5,0.5,CC,vgg16,0.0
3,20,0.5,0.5,0.0,0.5,0.5,ACC,vgg16,0.0
3,20,0.5,0.5,0.31,0.19,0.65,X,vgg16,0.0
3,20,0.5,0.5,0.09,0.41,0.45,MAX,vgg16,0.0
3,20,0.5,0.5,0.31,0.19,0.65,T50,vgg16,0.0
3,20,0.5,0.5,0.0,0.5,0.5,MS,vgg16,0.0
3,20,0.5,0.5,0.85,0.35,0.65,DyS,vgg16,0.0
3,20,0.5,0.5,0.05,0.45,0.45,HDy,vgg16,0.0
3,20,0.5,0.5,0.21,0.29,0.6,SORD,vgg16,0.0
1,20,0.6,0.6,0.0,0.6,0.4,CC,vgg16,0.0
1,20,0.6,0.6,0.0,0.6,0.4,ACC,vgg16,0.0
1,20,0.6,0.6,1.0,0.4,0.6,X,vgg16,0.0
1,20,0.6,0.6,0.53,0.07,0.7,MAX,vgg16,0.0
1,20,0.6,0.6,1.0,0.4,0.6,T50,vgg16,0.0
1,20,0.6,0.6,0.0,0.6,0.4,MS,vgg16,0.0
1,20,0.6,0.6,1.0,0.4,0.6,DyS,vgg16,0.0
1,20,0.6,0.6,0.22,0.38,0.4,HDy,vgg16,0.0
1,20,0.6,0.6,1.0,0.4,0.6,SORD,vgg16,0.0
2,20,0.6,0.6,0.0,0.6,0.4,CC,vgg16,0.0
2,20,0.6,0.6,0.0,0.6,0.4,ACC,vgg16,0.0
2,20,0.6,0.6,1.0,0.4,0.6,X,vgg16,0.0
2,20,0.6,0.6,1.0,0.4,0.6,MAX,vgg16,0.0
2,20,0.6,0.6,1.0,0.4,0.6,T50,vgg16,0.0
2,20,0.6,0.6,0.0,0.6,0.4,MS,vgg16,0.0
2,20,0.6,0.6,1.0,0.4,0.6,DyS,vgg16,0.0
2,20,0.6,0.6,0.74,0.14,0.6,HDy,vgg16,0.0
2,20,0.6,0.6,1.0,0.4,0.6,SORD,vgg16,0.0
