sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,50,0.0,0.0,0.18,0.18,0.82,CC,vgg16,0.0
1,50,0.0,0.0,0.35,0.35,0.66,ACC,vgg16,0.0
1,50,0.0,0.0,0.83,0.83,0.18,X,vgg16,0.0
1,50,0.0,0.0,0.81,0.81,0.18,MAX,vgg16,0.0
1,50,0.0,0.0,0.61,0.61,0.4,T50,vgg16,0.0
1,50,0.0,0.0,0.35,0.35,0.66,MS,vgg16,0.0
1,50,0.0,0.0,0.36,0.36,0.64,DyS,vgg16,0.0
1,50,0.0,0.0,0.36,0.36,0.64,HDy,vgg16,0.0
1,50,0.0,0.0,0.56,0.56,0.46,SORD,vgg16,0.0
2,50,0.0,0.0,0.06,0.06,0.94,CC,vgg16,0.0
2,50,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
2,50,0.0,0.0,0.39,0.39,0.6,X,vgg16,0.0
2,50,0.0,0.0,0.48,0.48,0.54,MAX,vgg16,0.0
2,50,0.0,0.0,0.06,0.06,0.94,T50,vgg16,0.0
2,50,0.0,0.0,0.06,0.06,0.94,MS,vgg16,0.0
2,50,0.0,0.0,0.0,0.0,1.0,DyS,vgg16,0.0
2,50,0.0,0.0,0.01,0.01,0.98,HDy,vgg16,0.0
2,50,0.0,0.0,0.11,0.11,0.88,SORD,vgg16,0.0
3,50,0.0,0.0,0.2,0.2,0.8,CC,vgg16,0.0
3,50,0.0,0.0,0.43,0.43,0.58,ACC,vgg16,0.0
3,50,0.0,0.0,0.39,0.39,0.6,X,vgg16,0.0
3,50,0.0,0.0,0.74,0.74,0.26,MAX,vgg16,0.0
3,50,0.0,0.0,0.72,0.72,0.28,T50,vgg16,0.0
3,50,0.0,0.0,0.39,0.39,0.6,MS,vgg16,0.0
3,50,0.0,0.0,0.44,0.44,0.56,DyS,vgg16,0.0
3,50,0.0,0.0,0.44,0.44,0.56,HDy,vgg16,0.0
3,50,0.0,0.0,0.74,0.74,0.26,SORD,vgg16,0.0
1,50,0.1,0.1,0.16,0.06,0.78,CC,vgg16,0.0
