sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,100,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
1,100,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
1,100,0.0,0.0,0.01,0.01,0.99,X,resnet50,1.0
1,100,0.0,0.0,0.01,0.01,0.99,MAX,resnet50,1.0
1,100,0.0,0.0,0.02,0.02,0.98,T50,resnet50,1.0
1,100,0.0,0.0,0.0,0.0,1.0,MS,resnet50,1.0
1,100,0.0,0.0,0.01,0.01,0.99,DyS,resnet50,1.0
1,100,0.0,0.0,0.0,0.0,1.0,HDy,resnet50,1.0
1,100,0.0,0.0,0.01,0.01,0.99,SORD,resnet50,1.0
2,100,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
2,100,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
2,100,0.0,0.0,0.09,0.09,0.92,X,resnet50,1.0
2,100,0.0,0.0,0.09,0.09,0.92,MAX,resnet50,1.0
2,100,0.0,0.0,0.04,0.04,0.96,T50,resnet50,1.0
2,100,0.0,0.0,0.0,0.0,1.0,MS,resnet50,1.0
2,100,0.0,0.0,0.06,0.06,0.94,DyS,resnet50,1.0
2,100,0.0,0.0,0.01,0.01,0.99,HDy,resnet50,1.0
2,100,0.0,0.0,0.12,0.12,0.89,SORD,resnet50,1.0
3,100,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
3,100,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
3,100,0.0,0.0,0.06,0.06,0.95,X,resnet50,1.0
3,100,0.0,0.0,0.06,0.06,0.95,MAX,resnet50,1.0
3,100,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
3,100,0.0,0.0,0.0,0.0,1.0,MS,resnet50,1.0
3,100,0.0,0.0,0.03,0.03,0.97,DyS,resnet50,1.0
3,100,0.0,0.0,0.0,0.0,1.0,HDy,resnet50,1.0
3,100,0.0,0.0,0.06,0.06,0.95,SORD,resnet50,1.0
1,100,0.1,0.1,0.0,0.1,0.9,CC,resnet50,1.0
1,100,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,1.0
1,100,0.1,0.1,0.1,0.0,0.89,X,resnet50,1.0
1,100,0.1,0.1,0.1,0.0,0.89,MAX,resnet50,1.0
1,100,0.1,0.1,0.0,0.1,0.9,T50,resnet50,1.0
1,100,0.1,0.1,0.0,0.1,0.9,MS,resnet50,1.0
1,100,0.1,0.1,0.07,0.03,0.9,DyS,resnet50,1.0
1,100,0.1,0.1,0.04,0.06,0.9,HDy,resnet50,1.0
1,100,0.1,0.1,0.15,0.05,0.85,SORD,resnet50,1.0
