sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,100,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
1,100,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
1,100,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
1,100,0.0,0.0,0.0,0.0,1.0,MAX,vgg16,0.0
1,100,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
1,100,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
1,100,0.0,0.0,1.0,1.0,0.0,DyS,vgg16,0.0
1,100,0.0,0.0,0.15,0.15,0.86,HDy,vgg16,0.0
1,100,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
2,100,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,MAX,vgg16,0.0
2,100,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
2,100,0.0,0.0,1.0,1.0,0.0,DyS,vgg16,0.0
2,100,0.0,0.0,0.18,0.18,0.81,HDy,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
3,100,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,MAX,vgg16,0.0
3,100,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
3,100,0.0,0.0,1.0,1.0,0.0,DyS,vgg16,0.0
3,100,0.0,0.0,0.15,0.15,0.83,HDy,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
1,100,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,MAX,vgg16,0.0
1,100,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
1,100,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
1,100,0.1,0.1,0.2,0.1,0.75,HDy,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,SORD,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
2,100,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,MAX,vgg16,0.0
2,100,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
2,100,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
2,100,0.1,0.1,0.22,0.12,0.74,HDy,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,SORD,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
3,100,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,MAX,vgg16,0.0
3,100,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
3,100,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
3,100,0.1,0.1,0.09,0.01,0.82,HDy,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,SORD,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
1,100,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,MAX,vgg16,0.0
1,100,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
1,100,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
1,100,0.2,0.2,0.24,0.04,0.73,HDy,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,SORD,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
2,100,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,MAX,vgg16,0.0
2,100,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
2,100,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
2,100,0.2,0.2,0.12,0.08,0.68,HDy,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,SORD,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
3,100,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,MAX,vgg16,0.0
3,100,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
3,100,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
3,100,0.2,0.2,0.33,0.13,0.59,HDy,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,SORD,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
1,100,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,MAX,vgg16,0.0
1,100,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
1,100,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
1,100,0.3,0.3,0.17,0.13,0.57,HDy,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,SORD,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
2,100,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,MAX,vgg16,0.0
2,100,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
2,100,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
2,100,0.3,0.3,0.12,0.18,0.58,HDy,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,SORD,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
3,100,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,MAX,vgg16,0.0
3,100,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
3,100,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
3,100,0.3,0.3,0.24,0.06,0.64,HDy,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,SORD,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
1,100,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,MAX,vgg16,0.0
1,100,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
1,100,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
1,100,0.4,0.4,0.07,0.33,0.52,HDy,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,SORD,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,MAX,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
2,100,0.4,0.4,0.25,0.15,0.54,HDy,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,SORD,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
3,100,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,MAX,vgg16,0.0
3,100,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
3,100,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
3,100,0.4,0.4,0.16,0.24,0.44,HDy,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,SORD,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,CC,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,ACC,vgg16,0.0
1,100,0.5,0.5,1.0,0.5,0.5,X,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,MAX,vgg16,0.0
1,100,0.5,0.5,1.0,0.5,0.5,T50,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,MS,vgg16,0.0
1,100,0.5,0.5,1.0,0.5,0.5,DyS,vgg16,0.0
1,100,0.5,0.5,0.23,0.27,0.54,HDy,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,SORD,vgg16,0.0
2,100,0.5,0.5,0.0,0.5,0.5,CC,vgg16,0.0
2,100,0.5,0.5,0.0,0.5,0.5,ACC,vgg16,0.0
2,100,0.5,0.5,1.0,0.5,0.5,X,vgg16,0.0
2,100,0.5,0.5,0.0,0.5,0.5,MAX,vgg16,0.0
2,100,0.5,0.5,1.0,0.5,0.5,T50,vgg16,0.0
2,100,0.5,0.5,0.0,0.5,0.5,MS,vgg16,0.0
2,100,0.5,0.5,1.0,0.5,0.5,DyS,vgg16,0.0
2,100,0.5,0.5,0.28,0.22,0.55,HDy,vgg16,0.0
